"table","viewName","savedqueryid","status","addedToSolution","failure"
"qfu_staff","Phase 8 Identity Setup - Missing Email","e0a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_staff","Phase 8 Identity Setup - Missing System User","e2a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_staff","Phase 8 Identity Setup - Linked Staff","e4a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_staff","Phase 8 Identity Setup - Active Staff","e6a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_branchmembership","Phase 8 Role Setup - Manager GM Admin","e8a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_branchmembership","Phase 8 Role Setup - Admin Memberships","eaa9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_workitem","Phase 8 Monitoring - Overdue Work Items","3a3e5757-dc43-f111-bec7-7c1e52062b6f","created","True",""
"qfu_workitem","Phase 8 Monitoring - Roadblocks","3c3e5757-dc43-f111-bec7-7c1e52062b6f","created","True",""
"qfu_workitem","Phase 8 Monitoring - Assignment Issues","3e3e5757-dc43-f111-bec7-7c1e52062b6f","created","True",""
"qfu_alertlog","Phase 8 Monitoring - Skipped Alerts","efa9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_alertlog","Phase 8 Monitoring - Failed Alerts","f1a9721c-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_assignmentexception","Phase 8 Monitoring - Open Assignment Exceptions","a4e37b22-dc43-f111-bec7-7c1e52062b6f","updated","True",""
"qfu_policy","Phase 8 Monitoring - Alert Policies","a6e37b22-dc43-f111-bec7-7c1e52062b6f","updated","True",""
